feature1_1,feature1_2,feature1_3,feature1_4,feature2_1,feature2_2,feature2_3,feature2_4,feature3_1,feature3_2,feature3_3,feature3_4,y_f,e_f,e_cf,y_cf,treatment
0.471435164,-1.190975695,1.432706968,-0.312651896,-0.720588733,0.88716294,0.859588414,-0.636523504,0.015696372,-2.242684954,1.150035725,0.991946022,3,1,1,340,0
0.953324128,-2.02125482,-0.334077366,0.002118365,0.405453412,0.289091941,1.321158192,-1.546905553,-0.202646325,-0.655969344,0.193421376,0.553438911,4,1,1,138,0
1.318151554,-0.469305285,0.675554085,-1.817027227,-0.18310854,1.058969188,-0.397840228,0.337437654,1.047578573,1.045938256,0.863717292,-0.122091575,60,1,1,174,0
0.124712954,-0.322794806,0.841674713,2.390960515,0.076199588,-0.56644593,0.036141937,-2.074977601,0.2477922,-0.897156784,-0.136794833,0.018289191,17,1,1,20,0
0.755413982,0.215268581,0.841008795,-1.445810077,-1.401973282,-0.1009182,-0.548242449,-0.144619508,0.354020332,-0.035513025,0.565738306,1.545658805,275,1,1,329,0
-0.974236334,-0.070344877,0.307968855,-0.208498763,1.033800733,-2.400453634,2.030603621,-1.142631289,0.211883387,0.704720624,-0.785435212,0.462059737,5,1,1,17,1
0.704228225,0.523507968,-0.926254314,2.007842951,0.226962542,-1.152659109,0.631979446,0.039512687,0.464392325,-3.563516661,1.321105615,0.152630552,123,1,1,24,0
0.164529543,-0.430095691,0.767368736,0.984919842,0.270835849,1.391986193,0.079842313,-0.399964581,-1.027850559,-0.584718211,0.816593927,-0.081947052,90,1,1,62,0
-0.344766014,0.528288145,-1.068988783,-0.511881309,0.29120536,0.566533696,0.503591759,0.285295685,0.484288113,1.363481512,-0.781105284,-0.468017666,12,1,1,4,0
1.224574355,-1.281108275,0.875475504,-1.710715324,-0.450765103,0.749163806,-0.203932866,-0.182175412,0.680656004,-1.81849899,0.047071635,0.394844209,43,1,1,138,0
-0.248432054,-0.617706648,-0.682883996,0.436257604,-1.703012774,0.393710599,-0.479324004,-0.299016293,0.694103288,0.678629674,0.239555995,0.151226629,489.3840714,0,0,514.1017883,1
0.816127233,1.893534468,0.639632763,-0.962028832,-2.085265642,1.930246767,-1.735348874,1.210383705,0.797435419,-0.379810784,0.702562224,-0.850346272,5,1,0,461.6427669,0
1.17681245,-0.524336103,0.700907731,0.984188071,-0.121728409,2.365768629,0.496142926,0.796594867,-0.47402089,-0.056695716,1.357797258,-0.804833724,39,1,1,84,0
-2.123620249,-0.33350244,-0.886719352,0.334197931,0.536783825,-0.743830368,-0.320203882,-0.916198861,-0.8596683,0.225985487,0.628775827,0.186494349,10,1,0,383.8507186,1
0.952478345,0.988137583,-0.072608314,-0.550602924,-0.938152614,-1.239071563,0.139683274,-0.223018982,2.123691889,0.122273434,-1.40943174,1.422985953,20,1,1,9,0
-2.147855038,-1.347532513,0.363564557,-0.014752112,1.272395079,-1.449566609,-1.195523742,-0.591862973,-0.414504844,-1.425794733,0.209394788,-0.592886004,251,1,1,10,0
-1.473116413,-0.896580615,1.10435157,-0.431549516,-0.161136908,0.889157494,0.288376848,-1.051538938,-0.3195614,-0.619993088,0.156998376,-0.571455351,63,1,1,36,0
1.057633183,-0.791488809,-0.524627346,0.071878039,1.910759427,0.787964683,0.513082144,-0.54641628,1.043944655,2.107785153,1.459927482,1.015405458,475.366724,0,0,381.2011301,0
0.749184601,-0.675521478,0.440266392,0.688971856,-0.276646127,1.92453332,0.411204021,0.890764956,0.226363227,-2.078617894,-0.387886232,-0.08710697,156,1,1,62,0
1.126385822,0.247111716,0.121171805,0.298983936,-0.157099137,-0.740469023,-1.247652923,0.249455215,0.581073321,2.76384408,0.399325437,0.668488169,549.9888301,0,1,307,0
-0.275773729,0.5004829,0.863064861,-1.051627859,-1.392054077,1.153922241,1.181944106,0.391371448,-0.881047092,0.29507996,1.863801062,-1.712273924,38,1,1,166,1
-1.407084546,0.126781186,0.003759848,-1.268994256,-0.838842921,0.553921251,-0.504042718,-0.788440185,1.529400674,0.205454854,0.313013129,0.866520712,490.1135613,0,1,240,0
0.29907053,1.076540644,0.363177348,1.893679826,-0.485752744,0.387674456,0.02355761,-0.660229502,-0.31868493,-0.722662194,0.177386719,0.983512729,38,1,1,6,0
0.023504586,0.553776978,0.353769294,-0.275593634,-0.490483591,-0.3744366,-2.397503976,1.541029983,0.063084539,-0.284440684,-1.265600538,1.787979632,16,1,1,3,0
-0.354508708,-0.104761123,0.386253689,0.822775374,-0.683789822,1.057203331,0.031879974,1.343182458,-0.05053969,-0.364009956,-1.553342339,-0.319297802,445.153025,0,1,41,0
0.527046451,0.711112399,-0.21754548,2.637791211,-1.742137631,-0.094434808,1.431183752,0.592758447,0.170296895,-1.751705948,0.288581322,-0.542579517,381,1,1,17,0
0.171602382,0.982817829,-0.025348902,-0.287552449,0.924442867,-0.0612463,-0.731033343,-1.022773705,0.99599297,0.955557933,0.713840771,0.133370962,567.0785345,0,1,98,1
-0.807038308,-0.342010782,1.908779658,0.155923261,0.759652532,-0.423006228,0.181672745,0.274492571,0.067912357,-0.036982815,-0.170801031,0.266973232,3,1,1,271,0
1.382997249,-0.022460874,0.131395367,0.434437185,0.264534068,0.565658344,0.58508428,-0.174298153,-1.071368671,-0.048460503,-0.84529039,0.415100558,133,1,1,6,0
0.425530591,-0.980724358,-0.42782611,1.498569955,-0.360156571,-0.458240389,-1.337968402,-0.04138654,0.821047956,2.097800781,1.282933247,0.270337926,400.1904911,0,0,475.2548162,0
1.003140362,1.078673551,0.340752685,-0.19807496,2.481458423,1.385254876,-1.154600965,-1.26806905,0.607862186,-1.080096483,-0.611281675,0.102035112,42,1,1,8,0
-1.436573937,0.210717053,-0.896904171,-1.724393079,1.792339197,-1.312712707,0.555877426,-0.681881305,1.572742746,-0.104651575,1.850397802,-0.333350427,436.9652282,0,1,5,0
0.193464234,-0.496744938,1.032723216,-1.739803798,-0.755862176,-0.881111733,0.393892263,-0.950025535,0.332506622,0.528944409,-1.120520994,0.048264207,3,1,1,3,1
0.061988451,-1.027515673,-0.238335365,1.93217817,-0.226632294,-0.92383072,0.355838997,-1.270063478,-0.195472413,-0.463419399,0.989414847,1.388647382,98,1,1,212,0
1.087713737,0.438801263,-0.961602241,1.245609937,0.502925518,-0.631398778,-0.704252047,-0.240482537,0.585599311,0.35280056,-1.815557692,-0.910123846,112,1,0,505.114902,1
-0.748527953,-0.108124926,0.274778837,0.237349765,-0.259843694,-0.312442177,0.448509743,-0.059531965,-0.470014813,0.349566772,-1.027468847,-0.306638484,408,1,1,29,1
1.406176139,-1.249696773,-1.560148889,1.557397651,-0.593356395,-0.170288512,1.672626808,-0.540799808,-0.684128329,0.599962086,-0.217199125,0.331526518,3,1,1,4,1
-0.38336458,-0.781816088,0.266237407,0.279428025,-1.219625695,-0.723948917,-1.734778308,0.271660784,0.099112017,-0.363089906,-0.588226728,0.025941714,8,1,1,3,0
-0.572302351,1.105586963,-1.208015593,-1.33970104,2.075185407,-1.489409701,-1.150953066,0.419059825,0.413405276,0.717576933,0.26172484,-0.242771271,160,1,1,3,1
-0.501268133,-0.698128979,1.384580161,-0.286425414,0.500069585,1.951103237,-0.278367462,0.036786259,0.445852506,-1.410350758,0.450001301,0.515479531,3,1,1,123,0
-1.15408394,-1.380173395,-0.495833005,-0.413279072,-1.719316668,-0.029560903,-0.766039884,0.099882077,-0.713023957,-2.226117621,0.725714153,0.916976283,231,1,0,460.1384673,0
